id,createdDate,updatedDate,deletedDate,name
1,2021-11-27 12:58:40.268336,2021-11-27 12:58:40.268336,,Liquor
3,2021-11-27 13:02:50.435339,2021-11-27 13:02:50.435339,,Liqueur
4,2021-11-27 13:03:16.62139,2021-11-27 13:03:16.62139,,Apéritif
5,2021-11-27 13:03:26.880627,2021-11-27 13:03:26.880627,,Digestif
7,2021-11-27 13:14:07.671597,2021-11-27 13:14:07.671597,,Juice
8,2021-11-27 17:13:26.22559,2021-11-27 17:13:26.22559,,Fruit
9,2021-11-27 17:49:13.968076,2021-11-27 17:49:13.968076,,Fortified Wine
10,2021-11-27 17:49:28.286365,2021-11-27 17:49:28.286365,,Aromatised Wine
11,2021-11-27 18:01:36.992466,2021-11-27 18:01:36.992466,,Bitters
12,2021-11-27 18:22:58.030326,2021-11-27 18:22:58.030326,,Sweetener
13,2021-11-27 18:23:48.162755,2021-11-27 18:23:48.162755,,Mixer
14,2021-11-27 18:59:50.737293,2021-11-27 18:59:50.737293,,Seeds
